feature,coefficient,abs_coefficient,odds_ratio
num__message_length_words,0.6373272000542454,0.6373272000542454,1.8914187333789032
num__hedge_ratio,0.6106158940873918,0.6106158940873918,1.8415652587313749
num__num_hedges,-0.5819163320260449,0.5819163320260449,0.5588264428031781
num__message_length_chars,-0.5022852570503671,0.5022852570503671,0.6051461638133014
num__num_first_person_pronouns,-0.3140348278061549,0.3140348278061549,0.7304935862273656
num__confidence_score,0.30262131455245844,0.30262131455245844,1.3534018538026087
num__assertive_ratio,-0.2255466097112492,0.2255466097112492,0.7980798613090878
num__num_uppercase_chars,-0.2036082009218494,0.2036082009218494,0.8157819311901597
num__num_modal_verbs,-0.1817542372087332,0.1817542372087332,0.8338062337845115
num__num_questions,0.14559721381123691,0.14559721381123691,1.1567301792658116
num__num_sentences,0.13689689184143322,0.13689689184143322,1.146709907277735
num__num_assertive,-0.11158380936047062,0.11158380936047062,0.8944164277931779
num__has_question,-0.08805558280218881,0.08805558280218881,0.915709977582234
num__modal_ratio,0.03654407685889596,0.03654407685889596,1.0372200204107085
num__num_politeness,-0.03328114483304631,0.03328114483304631,0.9672665793569405
num__question_ratio,-0.03238538405781323,0.03238538405781323,0.9681334069950599
num__avg_word_length,-0.008689816868947377,0.008689816868947377,0.9913478304612696
num__num_meta_conversation,-0.004105149169340086,0.004105149169340086,0.9959032654371682
num__words_per_sentence,-0.0017717562021669856,0.0017717562021669856,0.9982298124313042
num__has_exclamation,0.0,0.0,1.0
num__num_digits,0.0,0.0,1.0
