feature,coefficient,abs_coefficient,odds_ratio
num__num_sentences,-0.9253874953195185,0.9253874953195185,0.39637779477233065
num__num_uppercase_chars,-0.9021191789421725,0.9021191789421725,0.4057089781703846
num__message_length_words,0.8865106974533141,0.8865106974533141,2.426647554103732
num__words_per_sentence,-0.7725700895270081,0.7725700895270081,0.46182461114832957
num__num_modal_verbs,-0.7031800548625582,0.7031800548625582,0.49500864354315444
num__message_length_chars,0.6276864136925075,0.6276864136925075,1.8732715863900424
num__num_assertive,0.5723320608891238,0.5723320608891238,1.7723955699731364
num__assertive_ratio,-0.3548810069786903,0.3548810069786903,0.7012568829193151
num__num_hedges,0.2840091676563119,0.2840091676563119,1.3284451094251621
num__hedge_ratio,-0.22256566474144893,0.22256566474144893,0.8004624428651004
num__confidence_score,0.20110539848022677,0.20110539848022677,1.2227536414073747
num__modal_ratio,0.19056715389156484,0.19056715389156484,1.2099356227949603
num__has_question,0.17102005657189362,0.17102005657189362,1.1865145461973647
num__num_questions,0.10892647886084036,0.10892647886084036,1.1150803653489547
num__num_first_person_pronouns,0.07480322676603823,0.07480322676603823,1.0776720730007356
num__num_meta_conversation,0.07330598675459775,0.07330598675459775,1.076059746574845
num__avg_word_length,-0.0356663293578253,0.0356663293578253,0.9649622193349332
num__num_politeness,0.003715268447776027,0.003715268447776027,1.0037221786126511
num__question_ratio,-0.0005502720239292161,0.0005502720239292161,0.9994498793479545
num__has_exclamation,0.0,0.0,1.0
num__num_digits,0.0,0.0,1.0
