feature,coefficient,abs_coefficient,odds_ratio
num__num_sentences,-0.925387495407797,0.925387495407797,0.39637779473733903
num__num_uppercase_chars,-0.9021191789719372,0.9021191789719372,0.4057089781583088
num__message_length_words,0.886510697365162,0.886510697365162,2.4266475538898176
num__words_per_sentence,-0.7725700894973228,0.7725700894973228,0.461824611162039
num__num_modal_verbs,-0.7031800549463619,0.7031800549463619,0.4950086435016709
num__message_length_chars,0.6276864136047675,0.6276864136047675,1.8732715862256815
num__num_assertive,0.5723320608239242,0.5723320608239242,1.7723955698575768
num__assertive_ratio,-0.35488100703032605,0.35488100703032605,0.7012568828831052
num__num_hedges,0.28400916766087836,0.28400916766087836,1.3284451094312284
num__hedge_ratio,-0.22256566472615538,0.22256566472615538,0.8004624428773423
num__confidence_score,0.2011053984333545,0.2011053984333545,1.2227536413500615
num__modal_ratio,0.1905671538373705,0.1905671538373705,1.2099356227293885
num__has_question,0.17102005664422223,0.17102005664422223,1.1865145462831836
num__num_questions,0.10892647892101068,0.10892647892101068,1.1150803654160495
num__num_first_person_pronouns,0.07480322668805217,0.07480322668805217,1.0776720729166922
num__num_meta_conversation,0.0733059868221216,0.0733059868221216,1.0760597466475046
num__avg_word_length,-0.03566632935055117,0.03566632935055117,0.9649622193419524
num__num_politeness,0.0037152684475963813,0.0037152684475963813,1.0037221786124708
num__question_ratio,-0.0005502719525471251,0.0005502719525471251,0.9994498794192973
num__has_exclamation,0.0,0.0,1.0
num__num_digits,0.0,0.0,1.0
